address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
7519 8th Ave,LOS ANGELES,CA,90043,679000,1758.0,3.0,2.0,103.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7519-8th-Ave-Los-Angeles-CA-90043/20330347_zpid/
7003 Madden Ave,LOS ANGELES,CA,90043,798888,1943.0,6.0,2.0,1.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7003-Madden-Ave-Los-Angeles-CA-90043/20328266_zpid/
6042 6th Ave,LOS ANGELES,CA,90043,589999,1100.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/6042-6th-Ave-Los-Angeles-CA-90043/20327102_zpid/
4518 Arlington Ave,LOS ANGELES,CA,90043,469000,1586.0,3.0,2.0,45.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/4518-Arlington-Ave-Los-Angeles-CA-90043/20569450_zpid/
4884 Presidio Dr,View Park,CA,90043,1010000,2646.0,4.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4884-Presidio-Dr-View-Park-CA-90043/20567381_zpid/
7050 6th Ave,Los Angeles,CA,90043,1450000,4980.0,11.0,8.0,2.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/7050-6th-Ave-Los-Angeles-CA-90043/2106656172_zpid/
6757 2nd Ave,LOS ANGELES,CA,90043,469800,952.0,3.0,2.0,23.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/6757-2nd-Ave-Los-Angeles-CA-90043/20328058_zpid/
4247 W 61st St,LOS ANGELES,CA,90043,950000,2026.0,4.0,2.0,18.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/4247-W-61st-St-Los-Angeles-CA-90043/20324610_zpid/
3836 Olympiad Dr,View park,CA,90043,1899000,3027.0,5.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/3836-Olympiad-Dr-View-Park-CA-90043/20567358_zpid/
5700 3rd Ave,LOS ANGELES,CA,90043,699000,1600.0,4.0,2.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/5700-3rd-Ave-Los-Angeles-CA-90043/20562913_zpid/
