address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
5927 Junction St,LOS ANGELES,CA,90001,435000,1222.0,3.0,1.0,1.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/5927-Junction-St-Los-Angeles-CA-90001/20931530_zpid/
8116 Stanford Ave,LOS ANGELES,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-Los-Angeles-CA-90001/20944561_zpid/
819 E 75th St,LOS ANGELES,CA,90001,750000,1322.0,4.0,4.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/819-E-75th-St-Los-Angeles-CA-90001/20941013_zpid/
838 E 76th St,LOS ANGELES,CA,90001,440000,1192.0,3.0,2.0,2.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/838-E-76th-St-Los-Angeles-CA-90001/20941210_zpid/
636 E 73rd St,LOS ANGELES,CA,90001,778000,3488.0,10.0,6.0,4.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/636-E-73rd-St-Los-Angeles-CA-90001/20940914_zpid/
8019 Hooper Ave,LOS ANGELES,CA,90001,439000,1061.0,4.0,2.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8019-Hooper-Ave-Los-Angeles-CA-90001/20943989_zpid/
842 E 85th St,LOS ANGELES,CA,90001,415000,1512.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/842-E-85th-St-Los-Angeles-CA-90001/20945098_zpid/
7809 Crockett Blvd,Los Angeles,CA,90001,1399000,,10.0,10.0,17.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7809-Crockett-Blvd-Los-Angeles-CA-90001/250339376_zpid/
7512 Mckinley Ave,LOS ANGELES,CA,90001,370000,858.0,2.0,2.0,134.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7512-Mckinley-Ave-Los-Angeles-CA-90001/20941087_zpid/
7920 Hooper Ave,LOS ANGELES,CA,90001,459000,1550.0,4.0,2.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/7920-Hooper-Ave-Los-Angeles-CA-90001/20943734_zpid/
649 E 73rd St,LOS ANGELES,CA,90001,379999,1372.0,3.0,1.0,1.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/649-E-73rd-St-Los-Angeles-CA-90001/20940775_zpid/
1430 E 60th St,LOS ANGELES,CA,90001,,1883.0,5.0,,147.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/1430-E-60th-St-Los-Angeles-CA-90001/20931156_zpid/
831 E 77th St # 833,Los Angeles,CA,90001,337000,1349.0,3.0,2.0,288.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/831-E-77th-St-833-Los-Angeles-CA-90001/2090120983_zpid/
8017 Hooper Ave,LOS ANGELES,CA,90001,419000,1061.0,2.0,1.0,9.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8017-Hooper-Ave-Los-Angeles-CA-90001/20943990_zpid/
1600 Firestone Blvd,Los Angeles,CA,90001,829000,3600.0,8.0,6.0,,New construction,http://www.zillow.com/homes/for_sale//homedetails/1600-Firestone-Blvd-Los-Angeles-CA-90001/2102069676_zpid/
1406 E 71st St,LOS ANGELES,CA,90001,445000,1774.0,4.0,3.0,304.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1406-E-71st-St-Los-Angeles-CA-90001/20932588_zpid/
727 E 75th St,LOS ANGELES,CA,90001,575000,1800.0,4.0,3.0,22.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/727-E-75th-St-Los-Angeles-CA-90001/20940981_zpid/
8116 Stanford Ave # 1,Los Angeles,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-1-Los-Angeles-CA-90001/2086224984_zpid/
8116 Stanford Ave # 2,Los Angeles,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-2-Los-Angeles-CA-90001/2086224983_zpid/
8116 Stanford Ave # 3,Los Angeles,CA,90001,615000,3280.0,5.0,3.0,1.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8116-Stanford-Ave-3-Los-Angeles-CA-90001/2086224982_zpid/
1411 E 68th St,LOS ANGELES,CA,90001,345000,640.0,3.0,1.0,155.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1411-E-68th-St-Los-Angeles-CA-90001/20932493_zpid/
8127 Lou Dillon Ave,LOS ANGELES,CA,90001,359000,612.0,3.0,1.0,81.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8127-Lou-Dillon-Ave-Los-Angeles-CA-90001/20942934_zpid/
1722 1724 E 64th St,Los Angeles,CA,90001,360000,1314.0,3.0,2.0,91.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1722-1724-E-64th-St-Los-Angeles-CA-90001/2087241680_zpid/
2056 E 76th St,LOS ANGELES,CA,90001,415000,1000.0,3.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2056-E-76th-St-Los-Angeles-CA-90001/20942500_zpid/
1255 E 84th St,LOS ANGELES,CA,90001,400000,1165.0,2.0,1.0,43.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1255-E-84th-St-Los-Angeles-CA-90001/20944239_zpid/
1256 E 67th St,LOS ANGELES,CA,90001,364900,766.0,2.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1256-E-67th-St-Los-Angeles-CA-90001/20932237_zpid/
1004 E 76th St,LOS ANGELES,CA,90001,630000,1676.0,4.0,3.0,17.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1004-E-76th-St-Los-Angeles-CA-90001/20941239_zpid/
755 And 757 East 79th St,Los Angeles,CA,90001,450000,1820.0,5.0,2.0,57.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/755-And-757-East-79th-St-Los-Angeles-CA-90001/2094199622_zpid/
1358 E 59th Pl,LOS ANGELES,CA,90001,545000,2.0,5.0,2.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1358-E-59th-Pl-Los-Angeles-CA-90001/20931121_zpid/
1720 E 62nd St # 22,Los Angeles,CA,90001,580000,2050.0,8.0,6.0,115.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1720-E-62nd-St-22-Los-Angeles-CA-90001/2087603269_zpid/
1850 E 67th St,LOS ANGELES,CA,90001,389000,1155.0,2.0,1.0,139.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1850-E-67th-St-Los-Angeles-CA-90001/20931857_zpid/
1145 E 64th St,LOS ANGELES,CA,90001,499500,1549.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1145-E-64th-St-Los-Angeles-CA-90001/20930967_zpid/
843 E 73rd St,LOS ANGELES,CA,90001,510000,1390.0,3.0,2.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/843-E-73rd-St-Los-Angeles-CA-90001/20940806_zpid/
749 E 84th St,LOS ANGELES,CA,90001,699000,2138.0,5.0,3.0,36.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/749-E-84th-St-Los-Angeles-CA-90001/20944796_zpid/
1318 E 59th Pl,LOS ANGELES,CA,90001,700000,2415.0,4.0,4.0,65.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1318-E-59th-Pl-Los-Angeles-CA-90001/20931112_zpid/
7319 S Central Ave,LOS ANGELES,CA,90001,499000,2070.0,5.0,3.0,326.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/7319-S-Central-Ave-Los-Angeles-CA-90001/20940826_zpid/
1415 E 76th St,LOS ANGELES,CA,90001,569000,1790.0,0.0,,123.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1415-E-76th-St-Los-Angeles-CA-90001/20939816_zpid/
8228 Crockett Blvd,LOS ANGELES,CA,90001,549000,1476.0,4.0,3.0,80.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8228-Crockett-Blvd-Los-Angeles-CA-90001/20942981_zpid/
2051 E 76th Pl,LOS ANGELES,CA,90001,480000,1752.0,4.0,2.0,81.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2051-E-76th-Pl-Los-Angeles-CA-90001/20942511_zpid/
1134 E 67th St,Los Angeles,CA,90001,690900,2340.0,4.0,3.0,279.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1134-E-67th-St-Los-Angeles-CA-90001/2089926371_zpid/
1620 E 82nd Pl,LOS ANGELES,CA,90001,585000,1792.0,4.0,3.0,195.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1620-E-82nd-Pl-Los-Angeles-CA-90001/20943241_zpid/
1214 E 68th St,LOS ANGELES,CA,90001,489000,1678.0,2.0,1.0,181.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1214-E-68th-St-Los-Angeles-CA-90001/20932270_zpid/
1440 E 77th Pl,LOS ANGELES,CA,90001,540000,2064.0,3.0,1.0,151.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1440-E-77th-Pl-Los-Angeles-CA-90001/20939904_zpid/
6525 Holmes Ave,Los Angeles,CA,90001,650000,3347.0,4.0,3.0,213.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/6525-Holmes-Ave-Los-Angeles-CA-90001/135879684_zpid/
E 60th St,Los Angeles,CA,90001,3.1000,,,,100.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/E-60th-St-Los-Angeles-CA-90001/2088755189_zpid/
710 E Florence Ave,Los Angeles,CA,90001,439000,3998.0,,,185.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/710-E-Florence-Ave-Los-Angeles-CA-90001/2088493389_zpid/
Holmes Ave,Los Angeles,CA,90001,,2171.0,0.0,,124.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250182313_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 76th St,LOS ANGELES,CA,90001,,908.0,2.0,1.0,303.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247102571_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
S Central Ave,LOS ANGELES,CA,90001,,2304.0,6.0,6.0,103.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/246329277_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 76th St,LOS ANGELES,CA,90001,,1432.0,4.0,2.0,44.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/251223024_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 65th St,LOS ANGELES,CA,90001,,768.0,2.0,1.0,26.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/251400935_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 76th Pl,Los Angeles,CA,90001,,560.0,2.0,1.0,241.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/135902399_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 77th Pl,LOS ANGELES,CA,90001,,1269.0,4.0,2.0,148.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/135902413_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 77th St,Los Angeles,CA,90001,,1349.0,3.0,2.0,299.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/135902498_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 83rd St,Los Angeles,CA,90001,,1155.0,2.0,1.0,157.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/135902526_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 80th St,LOS ANGELES,CA,90001,,3432.0,10.0,6.0,291.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247198046_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 74th St,LOS ANGELES,CA,90001,,1538.0,4.0,3.0,173.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/247608066_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 79th St,LOS ANGELES,CA,90001,,1329.0,3.0,2.0,262.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247905270_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Stanford Ave,LOS ANGELES,CA,90001,,842.0,2.0,1.0,253.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247906750_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 76th St,LOS ANGELES,CA,90001,,1749.0,3.0,1.0,254.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248077206_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 67th St,LOS ANGELES,CA,90001,,1008.0,2.0,2.0,253.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248077207_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 83rd St,LOS ANGELES,CA,90001,,2062.0,4.0,2.0,246.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248150537_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 80th St,LOS ANGELES,CA,90001,,1435.0,2.0,1.0,247.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248450145_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 80th St,LOS ANGELES,CA,90001,,1831.0,2.0,1.0,207.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248769933_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 74th St,LOS ANGELES,CA,90001,,1080.0,3.0,1.0,212.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248938622_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 65th St,LOS ANGELES,CA,90001,,616.0,2.0,1.0,186.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/249472023_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Nadeau St,LOS ANGELES,CA,90001,,1070.0,3.0,2.0,122.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250144906_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 73rd St,LOS ANGELES,CA,90001,,2070.0,4.0,2.0,123.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250144907_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Nadeau St,LOS ANGELES,CA,90001,,2380.0,4.0,2.0,113.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250243143_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Stanford Ave,LOS ANGELES,CA,90001,,3280.0,5.0,3.0,100.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250454387_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 77th St,LOS ANGELES,CA,90001,,1237.0,3.0,1.0,89.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250718733_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 64th St,LOS ANGELES,CA,90001,,1314.0,3.0,2.0,53.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/243213841_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 74th St,LOS ANGELES,CA,90001,,1265.0,3.0,2.0,74.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/135902429_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 74th St,LOS ANGELES,CA,90001,,1335.0,2.0,1.0,72.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/249457455_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Wadsworth Ave,LOS ANGELES,CA,90001,,672.0,1.0,1.0,114.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/248150536_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 78th St,LOS ANGELES,CA,90001,,1211.0,4.0,2.0,45.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/251223025_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 79th St,Los Angeles,CA,90001,,1820.0,5.0,2.0,96.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/243943366_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Elsie St,LOS ANGELES,CA,90001,,1389.0,4.0,3.0,61.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/249614267_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 68th St,LOS ANGELES,CA,90001,,816.0,2.0,1.0,39.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/249804973_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 82nd St,LOS ANGELES,CA,90001,,1339.0,3.0,1.0,29.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/249704235_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 85th St,LOS ANGELES,CA,90001,,840.0,2.0,2.0,74.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250784451_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 59th St,LOS ANGELES,CA,90001,,1704.0,4.0,3.0,246.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/244561439_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Holmes Ave,LOS ANGELES,CA,90001,,3758.0,8.0,8.0,82.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247470355_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 61st St,LOS ANGELES,CA,90001,,2852.0,5.0,4.0,260.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247786910_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E 58th Dr,LOS ANGELES,CA,90001,,2192.0,6.0,4.0,194.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/249176864_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
9712 Defiance Ave,Los Angeles,CA,90002,419000,1385.0,3.0,2.0,7.0,New construction,http://www.zillow.com/homes/for_sale//homedetails/9712-Defiance-Ave-Los-Angeles-CA-90002/247101975_zpid/
9436 Bandera St,LOS ANGELES,CA,90002,299900,936.0,3.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9436-Bandera-St-Los-Angeles-CA-90002/20957135_zpid/
942 E 106th St,LOS ANGELES,CA,90002,370000,1079.0,3.0,1.0,5.0,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/942-E-106th-St-Los-Angeles-CA-90002/20959112_zpid/
1278 E 107th St,LOS ANGELES,CA,90002,439900,1501.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1278-E-107th-St-Los-Angeles-CA-90002/20966967_zpid/
1216 E 91st St,LOS ANGELES,CA,90002,350000,672.0,2.0,1.0,1.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1216-E-91st-St-Los-Angeles-CA-90002/20953829_zpid/
620 E 94th St,LOS ANGELES,CA,90002,420000,1892.0,5.0,2.0,94.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/620-E-94th-St-Los-Angeles-CA-90002/20958000_zpid/
10429 Parmelee Ave,LOS ANGELES,CA,90002,374000,1239.0,3.0,2.0,57.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/10429-Parmelee-Ave-Los-Angeles-CA-90002/20966815_zpid/
9307 Hickory St,LOS ANGELES,CA,90002,388000,1463.0,4.0,2.0,49.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9307-Hickory-St-Los-Angeles-CA-90002/20955307_zpid/
9101 Zamora Ave,LOS ANGELES,CA,90002,435900,1120.0,2.0,1.0,11.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9101-Zamora-Ave-Los-Angeles-CA-90002/20953868_zpid/
818 E 104th St,Los Angeles,CA,90002,739900,2500.0,7.0,4.0,84.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/818-E-104th-St-Los-Angeles-CA-90002/250224914_zpid/
855 E 104th St,LOS ANGELES,CA,90002,415000,1131.0,3.0,2.0,9.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/855-E-104th-St-Los-Angeles-CA-90002/20958893_zpid/
640 640 1/2 E 95th St,Los Angeles,CA,90002,585000,1803.0,3.0,3.0,42.0,New construction,http://www.zillow.com/homes/for_sale//homedetails/640-640-1-2-E-95th-St-Los-Angeles-CA-90002/2086689393_zpid/
9515 Compton Ave,Los Angeles,CA,90002,599000,2692.0,6.0,5.0,22.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/9515-Compton-Ave-Los-Angeles-CA-90002/250339584_zpid/
2170 E 105th St,LOS ANGELES,CA,90002,385000,920.0,3.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2170-E-105th-St-Los-Angeles-CA-90002/20967739_zpid/
9928 Compton Ave,LOS ANGELES,CA,90002,340000,832.0,3.0,1.0,94.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9928-Compton-Ave-Los-Angeles-CA-90002/20956548_zpid/
1238 E 89th St,LOS ANGELES,CA,90002,448500,1436.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1238-E-89th-St-Los-Angeles-CA-90002/20953877_zpid/
10515 Juniper St,LOS ANGELES,CA,90002,479900,1130.0,3.0,1.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10515-Juniper-St-Los-Angeles-CA-90002/20967741_zpid/
10510 Mary Ave,LOS ANGELES,CA,90002,347000,992.0,3.0,1.0,197.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/10510-Mary-Ave-Los-Angeles-CA-90002/20966746_zpid/
1223 E 87th Pl,LOS ANGELES,CA,90002,360000,896.0,2.0,1.0,38.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1223-E-87th-Pl-Los-Angeles-CA-90002/20954028_zpid/
8823 Holmes Ave,LOS ANGELES,CA,90002,400000,1430.0,5.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8823-Holmes-Ave-Los-Angeles-CA-90002/20954715_zpid/
10621 Kalmia St,Los Angeles,CA,90002,149000,3249.0,,,1.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/10621-Kalmia-St-Los-Angeles-CA-90002/2086224042_zpid/
2208 E 103rd St,LOS ANGELES,CA,90002,425000,1655.0,4.0,3.0,108.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2208-E-103rd-St-Los-Angeles-CA-90002/66666442_zpid/
826 E 102nd St,LOS ANGELES,CA,90002,399999,1152.0,3.0,1.0,50.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/826-E-102nd-St-Los-Angeles-CA-90002/20958576_zpid/
8629 Juniper St,Los Angeles,CA,90002,525000,2534.0,5.0,5.0,21.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/8629-Juniper-St-Los-Angeles-CA-90002/250339543_zpid/
843 E 98th St,LOS ANGELES,CA,90002,393995,1356.0,3.0,2.0,190.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/843-E-98th-St-Los-Angeles-CA-90002/20958362_zpid/
9516 S Central Ave,Los Angeles,CA,90002,759000,5032.0,11.0,6.0,133.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/9516-S-Central-Ave-Los-Angeles-CA-90002/135906826_zpid/
9808 S Central Ave,Los Angeles,CA,90002,325000,,0.0,,58.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9808-S-Central-Ave-Los-Angeles-CA-90002/250339601_zpid/
1745 E 106th St,LOS ANGELES,CA,90002,399000,1499.0,2.0,2.0,67.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/1745-E-106th-St-Los-Angeles-CA-90002/20967216_zpid/
10625 Kalmia St,LOS ANGELES,CA,90002,294900,1038.0,3.0,1.0,314.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10625-Kalmia-St-Los-Angeles-CA-90002/20967860_zpid/
9808 S Central Ave,Los Angeles,CA,90002,325000,1240.0,2.0,2.0,203.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/9808-S-Central-Ave-Los-Angeles-CA-90002/2143681346_zpid/
9616 Antwerp St,LOS ANGELES,CA,90002,380000,726.0,2.0,1.0,95.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9616-Antwerp-St-Los-Angeles-CA-90002/20956391_zpid/
633 E 94th St,LOS ANGELES,CA,90002,425000,1357.0,4.0,2.0,346.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/633-E-94th-St-Los-Angeles-CA-90002/20957981_zpid/
9308 Graham Ave,LOS ANGELES,CA,90002,460000,1288.0,4.0,2.0,165.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/9308-Graham-Ave-Los-Angeles-CA-90002/20956775_zpid/
9518 Bandera St,LOS ANGELES,CA,90002,690000,2965.0,4.0,3.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/9518-Bandera-St-Los-Angeles-CA-90002/20957131_zpid/
931 E 89th St,LOS ANGELES,CA,90002,460000,1654.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/931-E-89th-St-Los-Angeles-CA-90002/20953557_zpid/
9700 Graham Ave,LOS ANGELES,CA,90002,665000,2560.0,8.0,4.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/9700-Graham-Ave-Los-Angeles-CA-90002/20956851_zpid/
8702 Holmes Ave,LOS ANGELES,CA,90002,495000,1505.0,4.0,2.0,42.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8702-Holmes-Ave-Los-Angeles-CA-90002/20954786_zpid/
859 E Colden Ave,LOS ANGELES,CA,90002,499999,897.0,3.0,1.0,120.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/859-E-Colden-Ave-Los-Angeles-CA-90002/20958140_zpid/
8632 Grape St,LOS ANGELES,CA,90002,405000,1395.0,4.0,2.0,141.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/8632-Grape-St-Los-Angeles-CA-90002/20954978_zpid/
